is_holiday,temp_c,rain_1h,snow_1h,clouds_all
0,19,0,0,90
0,13.54,0,0,90
0,17.2,0,0,75
0,19.07,0,0,40
0,17.86,0,0,1
0,20.19,0,0,5
0,18.85,0,0,5
0,21.47,0,0,1
0,22.33,0,0,1
0,19.33,0,0,1
0,19.4,0,0,40
0,18.13,0,0,40
0,20.4,0,0,90
0,17.43,0,0,90
0,12.98,0,0,1
1,14.5,0,0,1
0,18.63,0.38,0,90
0,23.85,1.78,0,75
0,16.13,0.61,0,75
0,11.65,0.25,0,90
0,12.95,0.25,0,1
0,20.85,0.25,0,75
1,18.66,0.25,0,75
0,20.95,0.32,0,90
0,18.06,0,0,90
0,11.08,2.54,0,1
0,11.89,0,0,1
0,11.93,0,0,20
0,16.6,0,0,1
0,19.1,0,0,90
0,17.55,0,0,5
0,21.38,0,0,75
0,20.76,0,0,40
0,15.28,0.44,0,90
0,15.16,0,0,90
0,14.84,1.66,0,90
0,11.06,0,0,90
0,14.04,0,0,75
0,11.34,0,0,90
0,6.28,0.25,0,75
0,11.9,0,0,1
0,5.68,0,0,1
